t_indexterm           df 
7357   unpreced       3  
7358   unpretenti     1  
7359   unravel        3  
7360   unrealist      1  
7361   unrel          1  
7362   unrequit       1  
7363   unrest         1  
7364   unruli         1  
7365   unsatisfactori 1  
7366   unseen         1  
7367   unsettl        1  
7368   unspeak        1  
7369   unstabl        2  
7370   unstopp        3  
7371   unsuccess      3  
7372   unsung         1  
7373   unsupervis     1  
7374   unsur          1  
7375   untam          1  
7376   untap          1  
7377   untarnish      1  
7378   unthink        1  
7379   untim          1  
7380   unusu          3  
7381   unveil         2  
7382   unwant         1  
7383   unwil          1  
7384   unwinn         1  
7385   unwittingli    1  
7386   up             2  
7387   upandcom       1  
7388   upbring        1  
7389   upcom          3  
7390   upgrad         2  
7391   uphold         1  
7392   upon           10 
7393   upris          1  
7394   uproot         1  
7395   upscal         1  
7396   upset          2  
7397   upsid          2  
7398   upstat         2  
7399   uptight        2  
7400   urban          6  
7401   urbania        1  
7402   urchin         1  
7403   urg            2  
7404   uri            1  
7405   ursula         1  
7406   uruguayan      1  
7407   us             35 
7408   usa            5  
7409   use            41 
7410   usm            1  
7411   uso            1  
7412   uss            3  
7413   usual          2  
7414   utah           3  
7415   utopia         1  
7416   utopian        1  
7417   utterli        2  
7418   vacanc         1  
7419   vacat          17 
7420   vacation       1  
7421   vada           1  
7422   vader          3  
7423   vain           1  
7424   vainglori      1  
7425   val            1  
7426   vale           1  
7427   valedictorian  1  
7428   valentin       3  
7429   valeri         2  
7430   valerian       1  
7431   valid          1  
7432   valjean        2  
7433   valley         2  
7434   vallon         1  
7435   valmont        1  
7436   valu           2  
7437   valuabl        2  
7438   vampir         10 
7439   vampiress      1  
7440   van            5  
7441   vandalis       1  
7442   vanessa        1  
7443   vanger         1  
7444   vanish         1  
7445   vardon         1  
7446   varga          1  
7447   variou         6  
7448   vasquez        1  
7449   vast           3  
7450   vatican        2  
7451   vato           1  
7452   vaughn         5  
7453   vault          1  
7454   vega           8  
7455   vegasit        1  
7456   vehicl         1  
7457   velma          1  
7458   vendetta       1  
7459   vengeanc       2  
7460   venic          2  
7461   ventress       1  
7462   ventur         4  
7463   ventura        2  
7464   venu           1  
7465   vera           1  
7466   verg           3  
7467   verita         1  
7468   vermeer        1  
7469   vermont        1  
7470   vern           2  
7471   vernian        1  
7472   vernon         1  
7473   veron          1  
7474   verona         1  
7475   version        4  
7476   versu          1  
7477   vessel         3  
7478   veteran        8  
7479   vetra          1  
7480   vfw            1  
7481   vh             1  
7482   vi             1  
7483   via            1  
7484   viago          1  
7485   vice           1  
7486   viciou         3  
7487   vicious        2  
7488   vicki          1  
7489   victim         8  
7490   victor         4  
7491   victori        4  
7492   victoria       3  
7493   victorian      4  
7494   victorianera   1  
7495   video          7  
7496   videotap       1  
7497   vienna         3  
7498   vietnam        8  
7499   vietnames      1  
7500   view           3  
7501   viewer         1  
7502   vigilant       2  
7503   viii           1  
7504   vikand         1  
7505   vike           2  
7506   vile           1  
7507   villa          3  
7508   villag         14 
7509   villai         1  
7510   villain        5  
7511   villiag        1  
7512   vinc           3  
7513   vincent        3  
7514   vinci          2  
7515   vineyard       1  
7516   ving           1  
7517   vingt          1  
7518   vinz           1  
7519   viola          2  
7520   violenc        7  
7521   violent        13 
7522   violet         3  
7523   viper          1  
7524   virgin         3  
7525   virginia       5  
7526   virtu          1  
7527   virtual        2  
7528   viru           9  
7529   viruscarri     1  
7530   vision         4  
7531   visit          19 
7532   visitor        3  
7533   visual         2  
7534   vito           2  
7535   vittoria       1  
7536   vladislav      1  
7537   vocabulari     1  
7538   vogler:        1  
7539   voic           3  
7540   volcan         1  
7541   volcano        1  
7542   volcanologist  1  
7543   voldemort      5  
7544   volunt         5  
7545   voluntarili    1  
7546   von            1  
7547   voodoo         1  
7548   vote           1  
7549   voyag          4  
7550   vp             1  
7551   vs             3  
7552   vulcan         1  
7553   vulner         2  
7554   wachati        1  
7555   wachootoo      1  
7556   wacki          2  
7557   wade           2  
7558   wadiya         1  
7559   wage           4  
7560   wahlberg       1  
7561   waialiki       1  
7562   wait           5  
7563   waititi        1  
7564   waitress       4  
7565   wajdi          1  
7566   wake           6  
7567   walden         1  
7568   walk           8  
7569   walken         1  
7570   walker         4  
7571   wall           7  
7572   wallac         3  
7573   waller         1  
7574   wallet!        1  
7575   walley         1  
7576   walt           2  
7577   walter         3  
7578   wander         4  
7579   wando          1  
7580   wannab         2  
7581   want           57 
7582   war            75 
7583   warboth        1  
7584   ward           3  
7585   wardaddi       1  
7586   wardrob        1  
7587   warhead        2  
7588   warlock        1  
7589   warlord        2  
7590   warming!       1  
7591   warmli         1  
7592   warn           3  
7593   warrior        9  
7594   warsaw         1  
7595   warship        1  
7596   warzon         2  
7597   washington     8  
7598   wasp           1  
7599   wast           1  
7600   wasteland      1  
7601   watanab        1  
7602   watch          16 
7603   watchman       1  
7604   wate           1  
7605   water          13 
7606   waterboy       1  
7607   wateri         1  
7608   waterpark      1  
7609   watkin         1  
7610   watney         1  
7611   watson         5  
7612   watt           2  
7613   wave           5  
7614   wax            2  
7615   way            37 
7616   wayn           4  
7617   wayward        4  
7618   wckd           1  
7619   weak           1  
7620   wealth         2  
7621   wealthi        13 
7622   weapon         7  
7623   wear           1  
7624   weather        2  
7625   weatherman     1  
7626   web            4  
7627   weber          1  
7628   wed            15 
7629   wednesday      1  
7630   weed           2  
7631   week           16 
7632   weekend        7  
7633   weep           1  
7634   wegen          1  
7635   weight         3  
7636   weightloss     1  
7637   weird          1  
7638   welcom         7  
7639   welder         1  
7640   well           20 
7641   welland        1  
7642   welldress      1  
7643   welleduc       1  
7644   wellington     1  
7645   wellmean       1  
7646   wellord        1  
7647   welltodo       1  
7648   welltoo        1  
7649   welshth        1  
7650   welterweight   1  
7651   wendi          3  
7652   wendic         1  
7653   went           1  
7654   werent         3  
7655   west           10 
7656   westchest      1  
7657   western        2  
7658   westlak        1  
7659   westley        1  
7660   westward       1  
7661   westworld      1  
7662   weve           1  
7663   whackedout     1  
7664   whale          1  
7665   what           7  
7666   whatev         2  
7667   wheat          1  
7668   wheatley       1  
7669   wheeler        2  
7670   whereabout     2  
7671   wherein        1  
7672   whether        1  
7673   whilst         7  
7674   whim           1  
